epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,932.737,1.35331,1.11473,1.39525,0.63598,0.52046,0.57836,0.34793,1.75817,1.56903,1.75606,0.000993976,0.000993976,0.000993976
2,1819.77,1.41879,1.20231,1.42884,0.63938,0.51365,0.57682,0.33213,1.74945,1.56932,1.72652,0.0019545,0.0019545,0.0019545
3,2693.18,1.46038,1.26971,1.45932,0.64876,0.49077,0.57056,0.33021,1.74537,1.58413,1.7154,0.0019208,0.0019208,0.0019208
4,3565.62,1.4544,1.28227,1.46033,0.66824,0.50159,0.58327,0.34278,1.72741,1.50302,1.72892,0.0018812,0.0018812,0.0018812
5,4438.86,1.44438,1.25782,1.45656,0.67388,0.49883,0.58614,0.34565,1.71731,1.50738,1.68247,0.0018416,0.0018416,0.0018416
6,5312.07,1.4431,1.25552,1.45438,0.70286,0.49467,0.59967,0.35388,1.70267,1.46756,1.67473,0.001802,0.001802,0.001802
7,6185.3,1.46216,1.27096,1.46483,0.68206,0.50845,0.59594,0.34826,1.69841,1.4781,1.68136,0.0017624,0.0017624,0.0017624
8,7057.43,1.45559,1.27618,1.46682,0.69029,0.50351,0.60273,0.35125,1.7245,1.44209,1.69551,0.0017228,0.0017228,0.0017228
9,7931.74,1.46337,1.27298,1.46549,0.68214,0.50533,0.5951,0.35806,1.67234,1.52205,1.67616,0.0016832,0.0016832,0.0016832
10,8804.26,1.44332,1.26105,1.45596,0.66481,0.51209,0.59494,0.3574,1.67646,1.53108,1.67235,0.0016436,0.0016436,0.0016436
11,9677.77,1.43882,1.24698,1.45086,0.6543,0.53332,0.61149,0.36804,1.66515,1.47614,1.65176,0.001604,0.001604,0.001604
12,10551.9,1.43205,1.23985,1.45053,0.67735,0.52456,0.6149,0.36634,1.71802,1.51284,1.69469,0.0015644,0.0015644,0.0015644
13,11426.1,1.43113,1.22493,1.43994,0.71459,0.49919,0.6037,0.35873,1.65041,1.47751,1.64875,0.0015248,0.0015248,0.0015248
14,12299.3,1.41839,1.21668,1.43716,0.6726,0.52093,0.61203,0.36947,1.66757,1.44262,1.63185,0.0014852,0.0014852,0.0014852
15,13173.4,1.41844,1.20332,1.42809,0.71361,0.51687,0.62352,0.37955,1.64815,1.45832,1.6316,0.0014456,0.0014456,0.0014456
16,14046.3,1.41854,1.21971,1.4413,0.70508,0.51599,0.61318,0.37583,1.71005,1.41539,1.70001,0.001406,0.001406,0.001406
17,14918,1.40232,1.20086,1.42221,0.67394,0.5542,0.62688,0.37826,1.66067,1.41119,1.65229,0.0013664,0.0013664,0.0013664
18,15791.9,1.40055,1.18875,1.42405,0.68223,0.54244,0.62722,0.38142,1.61571,1.43037,1.64069,0.0013268,0.0013268,0.0013268
19,16665.6,1.40256,1.18744,1.42291,0.69851,0.54322,0.63842,0.3868,1.63542,1.37905,1.63389,0.0012872,0.0012872,0.0012872
20,17538.4,1.3898,1.16113,1.40647,0.68073,0.54198,0.63298,0.38547,1.60997,1.39591,1.62664,0.0012476,0.0012476,0.0012476
21,18411.8,1.38017,1.1494,1.40919,0.70725,0.54887,0.64279,0.38988,1.61892,1.36842,1.63908,0.001208,0.001208,0.001208
22,19286.4,1.36661,1.14267,1.39744,0.72034,0.55082,0.65062,0.39484,1.62408,1.38019,1.65227,0.0011684,0.0011684,0.0011684
23,20161,1.37356,1.15916,1.40598,0.69805,0.54684,0.63543,0.38372,1.62189,1.35649,1.62257,0.0011288,0.0011288,0.0011288
24,21034.7,1.36534,1.13763,1.39255,0.68409,0.5522,0.64135,0.38736,1.65497,1.37705,1.65932,0.0010892,0.0010892,0.0010892
25,890.757,1.35065,1.11261,1.38271,0.70172,0.57785,0.66178,0.40177,1.65114,1.33086,1.65925,0.0010496,0.0010496,0.0010496
26,1764.98,1.32303,1.07605,1.36208,0.70827,0.57265,0.65866,0.404,1.60666,1.32702,1.61297,0.00101,0.00101,0.00101
27,2637.51,1.32295,1.08003,1.35976,0.67278,0.58019,0.6494,0.39576,1.62646,1.32237,1.60876,0.0009704,0.0009704,0.0009704
28,3510.11,1.30688,1.07919,1.3561,0.72046,0.55992,0.66049,0.39861,1.6031,1.29562,1.60895,0.0009308,0.0009308,0.0009308
29,4381.35,1.28761,1.03695,1.33997,0.71644,0.57402,0.66675,0.40697,1.62067,1.2841,1.62544,0.0008912,0.0008912,0.0008912
30,5253.81,1.28629,1.04279,1.34381,0.70521,0.5633,0.65115,0.4004,1.58829,1.32344,1.59908,0.0008516,0.0008516,0.0008516
31,6124.95,1.29242,1.0518,1.34861,0.71201,0.57518,0.65963,0.40405,1.63337,1.29906,1.6255,0.000812,0.000812,0.000812
32,7001.09,1.28033,1.03776,1.3437,0.72559,0.565,0.66189,0.40368,1.62686,1.31514,1.64511,0.0007724,0.0007724,0.0007724
33,7872.18,1.28172,1.03986,1.33885,0.71538,0.57299,0.66447,0.40983,1.60709,1.30083,1.61688,0.0007328,0.0007328,0.0007328
34,8743.7,1.27674,1.0276,1.3347,0.70527,0.59917,0.67447,0.4099,1.59993,1.28272,1.61271,0.0006932,0.0006932,0.0006932
35,9631.29,1.26261,1.01601,1.32789,0.73492,0.58123,0.67486,0.41463,1.58325,1.27288,1.59805,0.0006536,0.0006536,0.0006536
36,10576,1.26001,1.00468,1.32674,0.73158,0.57915,0.67702,0.41426,1.61831,1.3113,1.62308,0.000614,0.000614,0.000614
37,11606.4,1.25324,0.99687,1.31812,0.75556,0.56486,0.67532,0.4093,1.63466,1.2696,1.64258,0.0005744,0.0005744,0.0005744
38,12634.9,1.24966,0.99636,1.32259,0.74989,0.55394,0.66755,0.41194,1.57924,1.26322,1.59154,0.0005348,0.0005348,0.0005348
39,13935.7,1.24174,0.97527,1.30954,0.74093,0.57616,0.6788,0.4195,1.57612,1.25239,1.59362,0.0004952,0.0004952,0.0004952
40,14978.5,1.24046,0.98979,1.31909,0.75058,0.5679,0.67835,0.42223,1.59466,1.2632,1.60214,0.0004556,0.0004556,0.0004556
41,15857.5,1.26319,0.98003,1.35824,0.73631,0.58435,0.67965,0.41832,1.60727,1.26947,1.60902,0.000416,0.000416,0.000416
42,16714.9,1.23689,0.93652,1.33577,0.72801,0.60044,0.68641,0.42543,1.57926,1.25078,1.59576,0.0003764,0.0003764,0.0003764
43,17572,1.23055,0.92792,1.33492,0.72567,0.59735,0.68724,0.42687,1.57768,1.22906,1.59314,0.0003368,0.0003368,0.0003368
44,18428.9,1.21161,0.91928,1.32206,0.73451,0.58435,0.6855,0.42516,1.56225,1.24478,1.5879,0.0002972,0.0002972,0.0002972
45,19286.8,1.21035,0.91732,1.32646,0.75125,0.59033,0.69265,0.42729,1.56948,1.22256,1.5881,0.0002576,0.0002576,0.0002576
46,20144,1.20324,0.89416,1.31044,0.74022,0.60068,0.69389,0.4309,1.56402,1.22173,1.58698,0.000218,0.000218,0.000218
47,21010.1,1.19982,0.89505,1.31242,0.74549,0.60281,0.69493,0.43043,1.5672,1.21876,1.58799,0.0001784,0.0001784,0.0001784
48,21867.6,1.18478,0.88359,1.30191,0.74225,0.60879,0.69582,0.43179,1.56059,1.20906,1.58543,0.0001388,0.0001388,0.0001388
49,22724.6,1.17743,0.86472,1.29642,0.73982,0.60831,0.69646,0.43238,1.55801,1.20348,1.58758,9.92e-05,9.92e-05,9.92e-05
50,23579.8,1.17942,0.87606,1.302,0.73981,0.61191,0.69753,0.43315,1.55585,1.20644,1.583,5.96e-05,5.96e-05,5.96e-05
