epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,894.836,1.84138,2.16124,1.72006,0.445,0.35979,0.34989,0.16879,1.93517,2.67122,1.79559,0.000662338,0.000662338,0.000662338
2,1705.3,1.84502,1.94295,1.73314,0.47104,0.36468,0.37915,0.19148,1.84783,2.1219,1.79492,0.00131585,0.00131585,0.00131585
3,2513.07,1.84876,1.93496,1.76279,0.42579,0.34369,0.34122,0.16708,1.89011,2.17126,1.88929,0.00195616,0.00195616,0.00195616
4,3320.17,1.81575,1.89698,1.74806,0.46303,0.34048,0.33461,0.16615,1.94228,2.30523,1.91601,0.0019406,0.0019406,0.0019406
5,4128.53,1.80281,1.85422,1.72617,0.50464,0.36058,0.39817,0.21433,1.79922,2.03797,1.75634,0.0019208,0.0019208,0.0019208
6,4937.21,1.76374,1.78405,1.69919,0.52821,0.37011,0.41492,0.2301,1.75426,1.94415,1.72974,0.001901,0.001901,0.001901
7,5742.66,1.74289,1.75992,1.68687,0.5509,0.35053,0.39988,0.21896,1.76487,2.00068,1.79438,0.0018812,0.0018812,0.0018812
8,6549.5,1.72356,1.72142,1.67631,0.29386,0.27619,0.20765,0.09331,1.98422,2.58451,1.84918,0.0018614,0.0018614,0.0018614
9,7354.69,1.70699,1.71619,1.6719,0.4969,0.41492,0.43744,0.24799,1.72509,1.79889,1.72926,0.0018416,0.0018416,0.0018416
10,8161.3,1.68628,1.6838,1.65309,0.59325,0.37407,0.45299,0.25534,1.70438,1.85849,1.72606,0.0018218,0.0018218,0.0018218
11,8984.08,1.66968,1.66602,1.64368,0.57367,0.41044,0.47274,0.25846,1.71573,1.76036,1.67786,0.001802,0.001802,0.001802
12,9789.64,1.66319,1.65657,1.63435,0.58734,0.4381,0.50497,0.29337,1.64652,1.69461,1.64258,0.0017822,0.0017822,0.0017822
13,10592.5,1.67033,1.64916,1.63753,0.54298,0.41928,0.46542,0.26646,1.68318,1.6722,1.64764,0.0017624,0.0017624,0.0017624
14,11397.4,1.65024,1.615,1.62108,0.57263,0.39656,0.46959,0.26641,1.68096,1.74442,1.70169,0.0017426,0.0017426,0.0017426
15,12201.3,1.63716,1.59385,1.60133,0.59456,0.43201,0.49616,0.28225,1.67254,1.61914,1.68286,0.0017228,0.0017228,0.0017228
16,13004.7,1.63553,1.58076,1.60523,0.57882,0.43862,0.50304,0.2839,1.67749,1.6388,1.64755,0.001703,0.001703,0.001703
17,13807.9,1.61726,1.54327,1.59374,0.61557,0.43589,0.50774,0.29588,1.64124,1.61038,1.68656,0.0016832,0.0016832,0.0016832
18,14613.2,1.6215,1.56628,1.59845,0.65341,0.44921,0.53106,0.3126,1.60224,1.56317,1.62468,0.0016634,0.0016634,0.0016634
19,15417.7,1.61173,1.55392,1.59382,0.62941,0.45317,0.5355,0.30887,1.65251,1.55219,1.66216,0.0016436,0.0016436,0.0016436
20,16220.4,1.60144,1.5379,1.58809,0.62965,0.46402,0.53903,0.31933,1.63672,1.52627,1.64005,0.0016238,0.0016238,0.0016238
21,17024.6,1.59046,1.52147,1.57819,0.63582,0.46111,0.54958,0.32754,1.59656,1.55278,1.59295,0.001604,0.001604,0.001604
22,17829,1.57005,1.50284,1.56989,0.65342,0.45438,0.54638,0.32314,1.61621,1.48595,1.62662,0.0015842,0.0015842,0.0015842
23,18635.4,1.56718,1.48486,1.56027,0.67616,0.46343,0.56833,0.33988,1.58876,1.53767,1.58395,0.0015644,0.0015644,0.0015644
